subset,split,model,true_class,pred_class,count
FD001,holdout,LogReg,0,0,2241
FD001,holdout,LogReg,0,1,191
FD001,holdout,LogReg,0,2,0
FD001,holdout,LogReg,1,0,60
FD001,holdout,LogReg,1,1,490
FD001,holdout,LogReg,1,2,50
FD001,holdout,LogReg,2,0,0
FD001,holdout,LogReg,2,1,50
FD001,holdout,LogReg,2,2,370
FD001,holdout,RF,0,0,2371
FD001,holdout,RF,0,1,61
FD001,holdout,RF,0,2,0
FD001,holdout,RF,1,0,196
FD001,holdout,RF,1,1,377
FD001,holdout,RF,1,2,27
FD001,holdout,RF,2,0,1
FD001,holdout,RF,2,1,61
FD001,holdout,RF,2,2,358
FD001,holdout,XGBoost,0,0,2332
FD001,holdout,XGBoost,0,1,100
FD001,holdout,XGBoost,0,2,0
FD001,holdout,XGBoost,1,0,153
FD001,holdout,XGBoost,1,1,410
FD001,holdout,XGBoost,1,2,37
FD001,holdout,XGBoost,2,0,0
FD001,holdout,XGBoost,2,1,60
FD001,holdout,XGBoost,2,2,360
FD001,official,LogReg,0,0,9868
FD001,official,LogReg,0,1,342
FD001,official,LogReg,0,2,0
FD001,official,LogReg,1,0,123
FD001,official,LogReg,1,1,601
FD001,official,LogReg,1,2,39
FD001,official,LogReg,2,0,0
FD001,official,LogReg,2,1,25
FD001,official,LogReg,2,2,98
FD001,official,RF,0,0,10139
FD001,official,RF,0,1,71
FD001,official,RF,0,2,0
FD001,official,RF,1,0,353
FD001,official,RF,1,1,387
FD001,official,RF,1,2,23
FD001,official,RF,2,0,6
FD001,official,RF,2,1,31
FD001,official,RF,2,2,86
FD001,official,XGBoost,0,0,10090
FD001,official,XGBoost,0,1,120
FD001,official,XGBoost,0,2,0
FD001,official,XGBoost,1,0,287
FD001,official,XGBoost,1,1,442
FD001,official,XGBoost,1,2,34
FD001,official,XGBoost,2,0,1
FD001,official,XGBoost,2,1,30
FD001,official,XGBoost,2,2,92
FD002,holdout,LogReg,0,0,6443
FD002,holdout,LogReg,0,1,535
FD002,holdout,LogReg,0,2,6
FD002,holdout,LogReg,1,0,202
FD002,holdout,LogReg,1,1,1249
FD002,holdout,LogReg,1,2,109
FD002,holdout,LogReg,2,0,0
FD002,holdout,LogReg,2,1,130
FD002,holdout,LogReg,2,2,962
FD002,holdout,RF,0,0,6829
FD002,holdout,RF,0,1,148
FD002,holdout,RF,0,2,7
FD002,holdout,RF,1,0,612
FD002,holdout,RF,1,1,838
FD002,holdout,RF,1,2,110
FD002,holdout,RF,2,0,10
FD002,holdout,RF,2,1,186
FD002,holdout,RF,2,2,896
FD002,holdout,XGBoost,0,0,6687
FD002,holdout,XGBoost,0,1,294
FD002,holdout,XGBoost,0,2,3
FD002,holdout,XGBoost,1,0,438
FD002,holdout,XGBoost,1,1,1007
FD002,holdout,XGBoost,1,2,115
FD002,holdout,XGBoost,2,0,4
FD002,holdout,XGBoost,2,1,163
FD002,holdout,XGBoost,2,2,925
FD002,official,LogReg,0,0,24262
FD002,official,LogReg,0,1,1963
FD002,official,LogReg,0,2,0
FD002,official,LogReg,1,0,251
FD002,official,LogReg,1,1,1661
FD002,official,LogReg,1,2,170
FD002,official,LogReg,2,0,0
FD002,official,LogReg,2,1,89
FD002,official,LogReg,2,2,415
FD002,official,RF,0,0,25561
FD002,official,RF,0,1,656
FD002,official,RF,0,2,8
FD002,official,RF,1,0,739
FD002,official,RF,1,1,1170
FD002,official,RF,1,2,173
FD002,official,RF,2,0,12
FD002,official,RF,2,1,137
FD002,official,RF,2,2,355
FD002,official,XGBoost,0,0,25039
FD002,official,XGBoost,0,1,1177
FD002,official,XGBoost,0,2,9
FD002,official,XGBoost,1,0,474
FD002,official,XGBoost,1,1,1426
FD002,official,XGBoost,1,2,182
FD002,official,XGBoost,2,0,6
FD002,official,XGBoost,2,1,139
FD002,official,XGBoost,2,2,359
FD003,holdout,LogReg,0,0,3105
FD003,holdout,LogReg,0,1,121
FD003,holdout,LogReg,0,2,0
FD003,holdout,LogReg,1,0,79
FD003,holdout,LogReg,1,1,493
FD003,holdout,LogReg,1,2,28
FD003,holdout,LogReg,2,0,0
FD003,holdout,LogReg,2,1,40
FD003,holdout,LogReg,2,2,380
FD003,holdout,RF,0,0,3208
FD003,holdout,RF,0,1,18
FD003,holdout,RF,0,2,0
FD003,holdout,RF,1,0,204
FD003,holdout,RF,1,1,384
FD003,holdout,RF,1,2,12
FD003,holdout,RF,2,0,0
FD003,holdout,RF,2,1,69
FD003,holdout,RF,2,2,351
FD003,holdout,XGBoost,0,0,3189
FD003,holdout,XGBoost,0,1,37
FD003,holdout,XGBoost,0,2,0
FD003,holdout,XGBoost,1,0,157
FD003,holdout,XGBoost,1,1,432
FD003,holdout,XGBoost,1,2,11
FD003,holdout,XGBoost,2,0,0
FD003,holdout,XGBoost,2,1,81
FD003,holdout,XGBoost,2,2,339
FD003,official,LogReg,0,0,13403
FD003,official,LogReg,0,1,403
FD003,official,LogReg,0,2,11
FD003,official,LogReg,1,0,58
FD003,official,LogReg,1,1,577
FD003,official,LogReg,1,2,22
FD003,official,LogReg,2,0,0
FD003,official,LogReg,2,1,30
FD003,official,LogReg,2,2,92
FD003,official,RF,0,0,13742
FD003,official,RF,0,1,75
FD003,official,RF,0,2,0
FD003,official,RF,1,0,223
FD003,official,RF,1,1,420
FD003,official,RF,1,2,14
FD003,official,RF,2,0,3
FD003,official,RF,2,1,20
FD003,official,RF,2,2,99
FD003,official,XGBoost,0,0,13603
FD003,official,XGBoost,0,1,214
FD003,official,XGBoost,0,2,0
FD003,official,XGBoost,1,0,139
FD003,official,XGBoost,1,1,501
FD003,official,XGBoost,1,2,17
FD003,official,XGBoost,2,0,0
FD003,official,XGBoost,2,1,28
FD003,official,XGBoost,2,2,94
FD004,holdout,LogReg,0,0,8136
FD004,holdout,LogReg,0,1,787
FD004,holdout,LogReg,0,2,45
FD004,holdout,LogReg,1,0,122
FD004,holdout,LogReg,1,1,1253
FD004,holdout,LogReg,1,2,125
FD004,holdout,LogReg,2,0,0
FD004,holdout,LogReg,2,1,141
FD004,holdout,LogReg,2,2,909
FD004,holdout,RF,0,0,8687
FD004,holdout,RF,0,1,248
FD004,holdout,RF,0,2,33
FD004,holdout,RF,1,0,501
FD004,holdout,RF,1,1,899
FD004,holdout,RF,1,2,100
FD004,holdout,RF,2,0,3
FD004,holdout,RF,2,1,170
FD004,holdout,RF,2,2,877
FD004,holdout,XGBoost,0,0,8567
FD004,holdout,XGBoost,0,1,366
FD004,holdout,XGBoost,0,2,35
FD004,holdout,XGBoost,1,0,307
FD004,holdout,XGBoost,1,1,1081
FD004,holdout,XGBoost,1,2,112
FD004,holdout,XGBoost,2,0,0
FD004,holdout,XGBoost,2,1,164
FD004,holdout,XGBoost,2,2,886
FD004,official,LogReg,0,0,32502
FD004,official,LogReg,0,1,1464
FD004,official,LogReg,0,2,40
FD004,official,LogReg,1,0,344
FD004,official,LogReg,1,1,1428
FD004,official,LogReg,1,2,104
FD004,official,LogReg,2,0,0
FD004,official,LogReg,2,1,131
FD004,official,LogReg,2,2,243
FD004,official,RF,0,0,33634
FD004,official,RF,0,1,339
FD004,official,RF,0,2,33
FD004,official,RF,1,0,873
FD004,official,RF,1,1,948
FD004,official,RF,1,2,55
FD004,official,RF,2,0,15
FD004,official,RF,2,1,161
FD004,official,RF,2,2,198
FD004,official,XGBoost,0,0,33314
FD004,official,XGBoost,0,1,654
FD004,official,XGBoost,0,2,38
FD004,official,XGBoost,1,0,570
FD004,official,XGBoost,1,1,1242
FD004,official,XGBoost,1,2,64
FD004,official,XGBoost,2,0,1
FD004,official,XGBoost,2,1,150
FD004,official,XGBoost,2,2,223
