subset,split,model,f1_macro,f1_warning,f1_critical,recall_critical,pr_auc_critical,pr_auc_macro
FD001,holdout,LogReg,0.8547,0.7363,0.881,0.881,0.9646,0.9191
FD001,holdout,RF,0.8413,0.6861,0.8894,0.8524,0.9656,0.9108
FD001,holdout,XGBoost,0.8436,0.7009,0.8813,0.8571,0.9619,0.9104
FD001,official,LogReg,0.8084,0.6944,0.7538,0.7967,0.8323,0.8675
FD001,official,RF,0.7796,0.6182,0.7414,0.6992,0.808,0.8374
FD001,official,XGBoost,0.7905,0.6524,0.739,0.748,0.8015,0.8321
FD002,holdout,LogReg,0.8505,0.7191,0.887,0.881,0.9604,0.9106
FD002,holdout,RF,0.8036,0.6135,0.8513,0.8205,0.9421,0.8796
FD002,holdout,XGBoost,0.8267,0.666,0.8665,0.8471,0.9458,0.8909
FD002,official,LogReg,0.7639,0.5733,0.7622,0.8234,0.8246,0.7948
FD002,official,RF,0.7448,0.5785,0.6827,0.7044,0.7283,0.7674
FD002,official,XGBoost,0.7467,0.5912,0.6812,0.7123,0.7563,0.7784
FD003,holdout,LogReg,0.891,0.7863,0.9179,0.9048,0.9828,0.9483
FD003,holdout,RF,0.8601,0.7171,0.8966,0.8357,0.9803,0.9382
FD003,holdout,XGBoost,0.8674,0.7513,0.8805,0.8071,0.978,0.9433
FD003,official,LogReg,0.8066,0.6923,0.7449,0.7541,0.8587,0.8882
FD003,official,RF,0.8495,0.7167,0.8426,0.8115,0.9099,0.8971
FD003,official,XGBoost,0.8366,0.7157,0.8069,0.7705,0.9133,0.9073
FD004,holdout,LogReg,0.8264,0.6808,0.8539,0.8657,0.888,0.8556
FD004,holdout,RF,0.8155,0.6383,0.8515,0.8352,0.9145,0.867
FD004,holdout,XGBoost,0.8353,0.695,0.8507,0.8438,0.9214,0.8756
FD004,official,LogReg,0.7313,0.583,0.6386,0.6497,0.606,0.7201
FD004,official,RF,0.7173,0.5704,0.6,0.5294,0.5954,0.7345
FD004,official,XGBoost,0.7509,0.6334,0.6381,0.5963,0.6267,0.7593
